iter	Passed	Remaining
402	13077	6392
403	13110	6360
404	13141	6327
405	13173	6294
406	13204	6261
407	13238	6229
408	13271	6197
409	13303	6164
410	13336	6132
411	13370	6100
412	13400	6067
413	13435	6036
414	13466	6002
415	13498	5970
416	13529	5937
417	13559	5903
418	13588	5869
419	13621	5837
420	13653	5805
421	13683	5771
422	13717	5740
423	13751	5708
424	13786	5676
425	13821	5645
426	13854	5613
427	13886	5580
428	13915	5546
429	13951	5515
430	13983	5482
431	14019	5452
432	14052	5419
433	14086	5388
434	14118	5355
435	14147	5321
436	14179	5288
437	14214	5257
438	14250	5226
439	14282	5193
440	14313	5160
441	14341	5126
442	14374	5094
443	14407	5062
444	14441	5030
445	14473	4997
446	14504	4964
447	14539	4932
448	14571	4900
449	14603	4867
450	14639	4836
451	14672	4804
452	14707	4772
453	14738	4739
454	14767	4706
455	14798	4673
456	14827	4639
457	14855	4605
458	14890	4574
459	14922	4541
460	14955	4509
461	14987	4476
462	15017	4443
463	15048	4410
464	15080	4378
465	15114	4346
466	15145	4313
467	15178	4281
468	15211	4248
469	15245	4216
470	15278	4184
471	15309	4151
472	15342	4119
473	15371	4086
474	15405	4054
475	15439	4022
476	15473	3989
477	15478	3950
478	15505	3916
479	15535	3883
480	15566	3851
481	15583	3815
482	15615	3782
483	15647	3750
484	15679	3717
485	15714	3686
486	15750	3654
487	15783	3622
488	15815	3590
489	15848	3557
490	15880	3525
491	15911	3492
492	15942	3460
493	15975	3428
494	16011	3396
495	16041	3363
496	16072	3331
497	16105	3298
498	16139	3266
499	16171	3234
500	16204	3202
501	16237	3169
502	16268	3137
503	16299	3104
504	16331	3072
505	16364	3039
506	16398	3008
507	16431	2975
508	16466	2943
509	16496	2911
510	16507	2875
511	16539	2842
512	16572	2810
513	16605	2778
514	16636	2745
515	16667	2713
516	16705	2681
517	16736	2649
518	16769	2617
519	16799	2584
520	16831	2552
521	16842	2516
522	16880	2485
523	16913	2453
524	16944	2420
525	16980	2388
526	17009	2356
527	17039	2323
528	17076	2291
529	17105	2259
530	17136	2226
531	17167	2194
532	17199	2161
533	17233	2129
534	17264	2097
535	17298	2065
536	17331	2033
537	17364	2001
538	17396	1968
539	17428	1936
540	17460	1904
541	17493	1871
542	17527	1839
543	17561	1807
544	17594	1775
545	17625	1743
546	17653	1710
547	17686	1678
548	17716	1645
549	17750	1613
550	17786	1581
551	17817	1549
552	17851	1517
553	17885	1485
554	17918	1452
555	17951	1420
556	17988	1388
557	18019	1356
558	18053	1324
559	18085	1291
560	18120	1259
561	18153	1227
562	18181	1194
563	18216	1162
564	18249	1130
565	18282	1098
566	18317	1066
567	18347	1033
568	18379	1001
569	18409	968
570	18441	936
571	18475	904
572	18508	872
573	18542	839
574	18575	807
575	18608	775
576	18639	742
577	18671	710
578	18702	678
579	18735	646
580	18767	613
581	18798	581
582	18828	549
583	18861	516
584	18892	484
585	18927	452
586	18959	419
587	18994	387
588	19029	355
589	19063	323
590	19096	290
591	19126	258
592	19161	226
593	19192	193
594	19226	161
595	19262	129
596	19297	96
597	19332	64
598	19365	32
599	19403	0
