iter	Passed	Remaining
0	183	110111
1	346	103460
2	415	82730
3	592	88208
4	654	77846
5	870	86164
6	1077	91319
7	1246	92249
8	1425	93576
9	1526	90055
10	1650	88392
11	1743	85418
12	1831	82707
13	1908	79875
14	1981	77273
15	2055	75014
